Sample Subtype MappingRate Study
662-V10-36803 H3N2 98.1 flu-Poon
669-V10-36804 H3N2 99.1 flu-Poon
671-V10-36805 H3N2 99.2 flu-Poon
672-V10-36806 H3N2 98 flu-Poon
674-V10-36807 H3N2 97.7 flu-Poon
688-V10-36808 H3N2 98.5 flu-Poon
689-V10-36809 H3N2 98.9 flu-Poon
689-V20-36810 H3N2 99.1 flu-Poon
689-V22-36811 H3N2 96.4 flu-Poon
692-V10-36812 H3N2 97.1 flu-Poon
692-V12-36813 H3N2 97.6 flu-Poon
695-V10-36814 H3N2 98.6 flu-Poon
703-V10-36815 H3N2 97.8 flu-Poon
707-V10-36816 H3N2 98.4 flu-Poon
710-V10-36817 H3N2 98.5 flu-Poon
714-V10-36818 H3N2 97.2 flu-Poon
720-V10-36819 H3N2 99.6 flu-Poon
720-V20-36820 H3N2 98.5 flu-Poon
720-V21-36821 H3N2 99.4 flu-Poon
720-V31-36822 H3N2 99.3 flu-Poon
724-V10-36823 H3N2 98.8 flu-Poon
724-V20-36824 H3N2 98.6 flu-Poon
725-V10-36825 H3N2 98 flu-Poon
726-V10-36826 H3N2 98.5 flu-Poon
727-V10-36827 H3N2 98.9 flu-Poon
729-V10-36828 H3N2 99.4 flu-Poon
733-V10-36829 H3N2 98.1 flu-Poon
734-V10-36830 H3N2 98.5 flu-Poon
734-V20-36831 H3N2 98.1 flu-Poon
734-V32-36832 H3N2 98.7 flu-Poon
736-V10-36833 H3N2 99 flu-Poon
737-V10-36834 H3N2 97.4 flu-Poon
739-V10-36835 H3N2 98.1 flu-Poon
739-V22-36836 H3N2 98.9 flu-Poon
739-V23-36837 H3N2 97.7 flu-Poon
739-V33-36838 H3N2 98.5 flu-Poon
741-V10-36839 H3N2 98.3 flu-Poon
747-V10-36840 H3N2 98.8 flu-Poon
747-V20-36841 H3N2 97.4 flu-Poon
747-V22-36842 H3N2 98.3 flu-Poon
750-V10-36843 H3N2 98.1 flu-Poon
752-V10-36844 H3N2 98.8 flu-Poon
755-V20-36845 H3N2 99.2 flu-Poon
755-V31-36846 H3N2 96.8 flu-Poon
756-V10-36847 H3N2 99.3 flu-Poon
763-V10-36848 H3N2 98.8 flu-Poon
763-V23-36849 H3N2 98.2 flu-Poon
764-V10-36850 H3N2 97.5 flu-Poon
768-V10-36851 H3N2 98.4 flu-Poon
769-V10-36852 H3N2 96.9 flu-Poon
770-V10-36853 pdmH1N1 89.88 flu-Poon
781-V10-36854 H3N2 98.8 flu-Poon
783-V10-36855 H3N2 98.9 flu-Poon
662-V10-36856 H3N2 96.7 flu-Poon
669-V10-36857 H3N2 67 flu-Poon
671-V10-36858 H3N2 99.2 flu-Poon
672-V10-36859 H3N2 96.9 flu-Poon
674-V10-36860 H3N2 93.5 flu-Poon
688-V10-36861 H3N2 97.3 flu-Poon
689-V10-36862 H3N2 97.7 flu-Poon
689-V20-36863 H3N2 95.7 flu-Poon
689-V22-36864 H3N2 98.2 flu-Poon
692-V10-36865 H3N2 91.7 flu-Poon
695-V10-36866 H3N2 97.4 flu-Poon
703-V10-36867 H3N2 85 flu-Poon
707-V10-36868 H3N2 98 flu-Poon
710-V10-36869 H3N2 98.7 flu-Poon
714-V10-36870 H3N2 99.7 flu-Poon
720-V10-36871 H3N2 98.5 flu-Poon
720-V20-36872 H3N2 98.5 flu-Poon
720-V21-36873 H3N2 73 flu-Poon
720-V31-36874 H3N2 99.5 flu-Poon
724-V10-36875 H3N2 90.5 flu-Poon
724-V20-36876 H3N2 90.8 flu-Poon
725-V10-36877 H3N2 96.9 flu-Poon
726-V10-36878 H3N2 96.5 flu-Poon
729-V10-36879 H3N2 69.7 flu-Poon
733-V10-36880 H3N2 97.7 flu-Poon
734-V10-36881 H3N2 92.7 flu-Poon
734-V20-36882 H3N2 43.6 flu-Poon
734-V32-36883 H3N2 93 flu-Poon
736-V10-36884 H3N2 97.4 flu-Poon
737-V10-36885 H3N2 94.4 flu-Poon
739-V10-36886 H3N2 97.9 flu-Poon
739-V22-36887 H3N2 87.4 flu-Poon
739-V23-36888 H3N2 95.7 flu-Poon
739-V33-36889 H3N2 89.6 flu-Poon
741-V10-36890 H3N2 98.1 flu-Poon
747-V10-36891 H3N2 99.3 flu-Poon
747-V22-36892 H3N2 98 flu-Poon
750-V10-36893 H3N2 96.5 flu-Poon
752-V10-36894 H3N2 96 flu-Poon
755-V31-36895 H3N2 98.3 flu-Poon
756-V10-36896 H3N2 98.4 flu-Poon
763-V10-36897 H3N2 98.6 flu-Poon
