Sample Read Subtype NumSamplesSequenced BpSequenced NumVariants Study
779-V21 R1 pdmH1N1 54 13158 3 flu-Poon
734-V32 R2 H3N2 46 13550 130 flu-Poon
708-V10 R1 pdmH1N1 54 13158 0 flu-Poon
720-V10 R1R2 H3N2 46 13550 116 flu-Poon
793-V20 R1R2 pdmH1N1 54 13158 24 flu-Poon
678-V10 R2 pdmH1N1 54 13158 29 flu-Poon
689-V10 R2 H3N2 46 13550 122 flu-Poon
734-V20 R1R2 H3N2 46 13550 60 flu-Poon
695-V10 R1R2 H3N2 46 13550 52 flu-Poon
771-V10 R2 pdmH1N1 54 13158 49 flu-Poon
681-V32 R1R2 pdmH1N1 54 13158 32 flu-Poon
761-V10 R2 pdmH1N1 54 13158 40 flu-Poon
774-V10 R2 pdmH1N1 54 13158 34 flu-Poon
663-V10 R1R2 pdmH1N1 54 13158 18 flu-Poon
695-V10 R2 H3N2 46 13550 113 flu-Poon
674-V10 R1R2 H3N2 46 13550 129 flu-Poon
751-V34 R1R2 pdmH1N1 54 13158 20 flu-Poon
747-V22 R2 H3N2 46 13550 117 flu-Poon
759-V10 R2 pdmH1N1 54 13158 38 flu-Poon
774-V10 R1 pdmH1N1 54 13158 2 flu-Poon
726-V10 R1 H3N2 46 13550 0 flu-Poon
662-V10 R1R2 H3N2 46 13550 68 flu-Poon
779-V12 R1R2 pdmH1N1 54 13158 26 flu-Poon
710-V10 R1R2 H3N2 46 13550 40 flu-Poon
714-V10 R2 H3N2 46 13550 118 flu-Poon
667-V23 R1 pdmH1N1 54 13158 0 flu-Poon
761-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
751-V31 R2 pdmH1N1 54 13158 37 flu-Poon
710-V10 R2 H3N2 46 13550 118 flu-Poon
769-V10 R1 H3N2 46 13550 1 flu-Poon
684-V23 R1R2 pdmH1N1 54 13158 18 flu-Poon
737-V10 R1R2 H3N2 46 13550 56 flu-Poon
755-V31 R2 H3N2 46 13550 119 flu-Poon
724-V20 R1R2 H3N2 46 13550 59 flu-Poon
707-V10 R2 H3N2 46 13550 119 flu-Poon
720-V20 R2 H3N2 46 13550 117 flu-Poon
689-V20 R1R2 H3N2 46 13550 45 flu-Poon
738-V10 R1R2 pdmH1N1 54 13158 19 flu-Poon
751-V34 R2 pdmH1N1 54 13158 36 flu-Poon
739-V33 R1R2 H3N2 46 13550 51 flu-Poon
742-V10 R1 pdmH1N1 54 13158 1 flu-Poon
779-V22 R1R2 pdmH1N1 54 13158 28 flu-Poon
779-V22 R1 pdmH1N1 54 13158 4 flu-Poon
779-V21 R2 pdmH1N1 54 13158 41 flu-Poon
724-V10 R2 H3N2 46 13550 129 flu-Poon
751-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
772-V10 R2 pdmH1N1 54 13158 25 flu-Poon
672-V10 R1R2 H3N2 46 13550 59 flu-Poon
720-V21 R1R2 H3N2 46 13550 110 flu-Poon
689-V22 R1R2 H3N2 46 13550 44 flu-Poon
689-V22 R2 H3N2 46 13550 122 flu-Poon
667-V23 R1R2 pdmH1N1 54 13158 18 flu-Poon
746-V10 R2 pdmH1N1 54 13158 29 flu-Poon
693-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
758-V10 R2 pdmH1N1 54 13158 45 flu-Poon
764-V10 R1 H3N2 46 13550 0 flu-Poon
674-V10 R1 H3N2 46 13550 1 flu-Poon
681-V32 R2 pdmH1N1 54 13158 39 flu-Poon
736-V10 R2 H3N2 46 13550 126 flu-Poon
765-V10 R1R2 pdmH1N1 54 13158 26 flu-Poon
750-V10 R1R2 H3N2 46 13550 40 flu-Poon
678-V10 R1 pdmH1N1 54 13158 0 flu-Poon
771-V10 R1 pdmH1N1 54 13158 6 flu-Poon
745-V10 R2 pdmH1N1 54 13158 27 flu-Poon
689-V20 R1 H3N2 46 13550 0 flu-Poon
785-V10 R1R2 pdmH1N1 54 13158 17 flu-Poon
689-V10 R1R2 H3N2 46 13550 45 flu-Poon
756-V10 R2 H3N2 46 13550 118 flu-Poon
722-V10 R2 pdmH1N1 54 13158 35 flu-Poon
681-V10 R1 pdmH1N1 54 13158 2 flu-Poon
724-V20 R2 H3N2 46 13550 120 flu-Poon
683-V10 R2 pdmH1N1 54 13158 48 flu-Poon
681-V32 R1 pdmH1N1 54 13158 1 flu-Poon
734-V20 R2 H3N2 46 13550 122 flu-Poon
692-V10 R1R2 H3N2 46 13550 51 flu-Poon
739-V23 R1R2 H3N2 46 13550 45 flu-Poon
759-V10 R1 pdmH1N1 54 13158 0 flu-Poon
751-V34 R1 pdmH1N1 54 13158 1 flu-Poon
752-V10 R1 H3N2 46 13550 1 flu-Poon
661-V10 R1 pdmH1N1 54 13158 2 flu-Poon
707-V10 R1R2 H3N2 46 13550 114 flu-Poon
742-V10 R1R2 pdmH1N1 54 13158 15 flu-Poon
742-V33 R1 pdmH1N1 54 13158 0 flu-Poon
729-V10 R1R2 H3N2 46 13550 58 flu-Poon
736-V10 R1 H3N2 46 13550 0 flu-Poon
722-V10 R1 pdmH1N1 54 13158 0 flu-Poon
793-V10 R1R2 pdmH1N1 54 13158 24 flu-Poon
704-V10 R2 pdmH1N1 54 13158 40 flu-Poon
720-V10 R2 H3N2 46 13550 112 flu-Poon
739-V33 R2 H3N2 46 13550 123 flu-Poon
751-V20 R2 pdmH1N1 54 13158 29 flu-Poon
770-V22 R2 pdmH1N1 54 13158 33 flu-Poon
737-V10 R1 H3N2 46 13550 0 flu-Poon
781-V10 R2 H3N2 46 13550 124 flu-Poon
714-V10 R1R2 H3N2 46 13550 42 flu-Poon
737-V10 R2 H3N2 46 13550 114 flu-Poon
793-V10 R2 pdmH1N1 54 13158 46 flu-Poon
684-V10 R1R2 pdmH1N1 54 13158 16 flu-Poon
733-V10 R1R2 H3N2 46 13550 53 flu-Poon
698-V20 R1R2 pdmH1N1 54 13158 21 flu-Poon
712-V24 R1 pdmH1N1 54 13158 1 flu-Poon
661-V10 R2 pdmH1N1 54 13158 40 flu-Poon
734-V10 R1R2 H3N2 46 13550 54 flu-Poon
751-V23 R2 pdmH1N1 54 13158 29 flu-Poon
689-V22 R1 H3N2 46 13550 1 flu-Poon
779-V12 R1 pdmH1N1 54 13158 0 flu-Poon
684-V10 R1 pdmH1N1 54 13158 1 flu-Poon
761-V10 R1 pdmH1N1 54 13158 1 flu-Poon
741-V10 R1 H3N2 46 13550 1 flu-Poon
671-V10 R2 H3N2 46 13550 114 flu-Poon
771-V10 R1R2 pdmH1N1 54 13158 26 flu-Poon
734-V10 R2 H3N2 46 13550 112 flu-Poon
